Date,Open,High,Low,Close,Adj Close,Volume
2016-11-21,5336.78,5369.83,5334.16,5368.86,5368.86,1745320000.0
2016-11-22,5384.75,5392.26,5365.6,5386.35,5386.35,1886800000.0
2016-11-23,5366.55,5380.68,5350.68,5380.68,5380.68,1616740000.0
2016-11-25,5388.49,5398.92,5379.28,5398.92,5398.92,768070000.0
2016-11-28,5387.92,5396.27,5364.91,5368.81,5368.81,1625620000.0
2016-11-29,5370.98,5403.86,5360.56,5379.92,5379.92,1788790000.0
2016-11-30,5391.35,5393.15,5323.68,5323.68,5323.68,2064430000.0
2016-12-01,5323.88,5326.34,5238.21,5251.11,5251.11,2264960000.0
2016-12-02,5249.02,5274.54,5239.27,5255.65,5255.65,1848930000.0
2016-12-05,5283.58,5321.09,5269.57,5308.89,5308.89,1798160000.0
2016-12-06,5317.74,5333.99,5299.94,5333.0,5333.0,1974850000.0
2016-12-07,5322.67,5397.93,5307.31,5393.76,5393.76,2122590000.0
2016-12-08,5394.15,5425.52,5389.1,5417.36,5417.36,2231070000.0
2016-12-09,5436.11,5450.16,5427.12,5444.5,5444.5,2038700000.0
2016-12-12,5428.22,5434.9,5394.42,5412.54,5412.54,1927560000.0
2016-12-13,5433.57,5486.75,5430.72,5463.83,5463.83,2085710000.0
2016-12-14,5465.69,5476.25,5425.73,5436.67,5436.67,1974150000.0
2016-12-15,5443.51,5485.12,5439.39,5456.85,5456.85,2095910000.0
2016-12-16,5467.82,5474.58,5426.01,5437.16,5437.16,3257750000.0
2016-12-19,5441.2,5483.42,5436.54,5457.44,5457.44,1685800000.0
2016-12-20,5473.53,5489.47,5471.71,5483.94,5483.94,1678040000.0
2016-12-21,5482.63,5486.26,5465.31,5471.43,5471.43,1493900000.0
2016-12-22,5472.01,5472.01,5432.77,5447.42,5447.42,1582600000.0
2016-12-23,5441.76,5462.69,5441.76,5462.69,5462.69,1144280000.0
2016-12-27,5470.76,5512.37,5469.61,5487.44,5487.44,1216870000.0
2016-12-28,5497.44,5498.91,5434.7,5438.56,5438.56,1322130000.0
2016-12-29,5437.51,5450.63,5415.18,5432.09,5432.09,1264480000.0
2016-12-30,5440.17,5441.9,5371.89,5383.12,5383.12,1550820000.0
2017-01-03,5425.62,5452.57,5397.99,5429.08,5429.08,1886200000.0
2017-01-04,5440.91,5482.35,5440.24,5477.0,5477.0,1883360000.0
2017-01-05,5474.39,5495.85,5464.36,5487.94,5487.94,1792610000.0
2017-01-06,5499.08,5536.52,5482.81,5521.06,5521.06,1710770000.0
2017-01-09,5527.58,5541.08,5517.14,5531.82,5531.82,1885500000.0
2017-01-10,5536.54,5564.25,5528.11,5551.82,5551.82,1796500000.0
2017-01-11,5550.72,5564.08,5524.03,5563.65,5563.65,1954720000.0
2017-01-12,5542.56,5550.67,5496.82,5547.49,5547.49,1801750000.0
2017-01-13,5557.57,5584.26,5557.2,5574.12,5574.12,1605110000.0
2017-01-17,5555.16,5557.05,5527.22,5538.73,5538.73,1757030000.0
2017-01-18,5546.94,5555.98,5534.77,5555.65,5555.65,1683320000.0
2017-01-19,5560.61,5571.53,5528.37,5540.08,5540.08,1805710000.0
2017-01-20,5556.87,5574.35,5542.23,5555.33,5555.33,1740320000.0
2017-01-23,5546.64,5564.14,5522.69,5552.94,5552.94,1650290000.0
2017-01-24,5568.27,5606.53,5558.49,5600.96,5600.96,1805370000.0
2017-01-25,5635.86,5658.59,5634.33,5656.34,5656.34,1959950000.0
2017-01-26,5666.28,5669.61,5647.65,5655.18,5655.18,1827490000.0
2017-01-27,5664.88,5667.45,5643.9,5660.78,5660.78,1663400000.0
2017-01-30,5635.86,5636.09,5578.76,5613.71,5613.71,1777090000.0
2017-01-31,5592.87,5615.15,5576.09,5614.79,5614.79,2041480000.0
2017-02-01,5654.51,5662.11,5621.03,5642.65,5642.65,2223560000.0
2017-02-02,5627.15,5656.01,5616.4,5636.2,5636.2,2073980000.0
2017-02-03,5650.73,5666.84,5647.58,5666.77,5666.77,1786860000.0
2017-02-06,5656.95,5668.2,5650.26,5663.55,5663.55,1732280000.0
2017-02-07,5674.86,5689.6,5664.82,5674.22,5674.22,1919100000.0
2017-02-08,5662.95,5686.96,5649.39,5682.45,5682.45,1945060000.0
2017-02-09,5688.02,5722.71,5685.15,5715.18,5715.18,1943840000.0
2017-02-10,5726.17,5743.43,5717.42,5734.13,5734.13,1852010000.0
2017-02-13,5753.19,5770.99,5751.92,5763.96,5763.96,1840010000.0
2017-02-14,5756.51,5783.09,5748.74,5782.57,5782.57,1945160000.0
2017-02-15,5777.9,5821.95,5776.7,5819.44,5819.44,2083660000.0
2017-02-16,5823.01,5835.15,5796.71,5814.9,5814.9,1943600000.0
2017-02-17,5807.31,5838.58,5800.8,5838.58,5838.58,1875580000.0
2017-02-21,5850.2,5867.89,5847.5,5865.95,5865.95,1935110000.0
2017-02-22,5857.56,5864.42,5848.28,5860.63,5860.63,1872330000.0
2017-02-23,5866.82,5866.96,5809.55,5835.51,5835.51,1879670000.0
2017-02-24,5802.33,5845.31,5800.55,5845.31,5845.31,1683280000.0
2017-02-27,5835.04,5861.9,5827.0,5861.9,5861.9,1876090000.0
2017-02-28,5852.79,5855.07,5817.22,5825.44,5825.44,2298380000.0
2017-03-01,5874.86,5911.79,5865.79,5904.03,5904.03,2210360000.0
2017-03-02,5897.01,5897.01,5856.3,5861.22,5861.22,2040770000.0
2017-03-03,5854.27,5870.75,5841.47,5870.75,5870.75,1852130000.0
2017-03-06,5846.42,5857.74,5827.46,5849.18,5849.18,1767840000.0
2017-03-07,5836.12,5859.77,5826.32,5833.93,5833.93,1822000000.0
2017-03-08,5838.44,5860.63,5832.63,5837.55,5837.55,1810480000.0
2017-03-09,5834.67,5852.54,5812.08,5838.81,5838.81,1883930000.0
2017-03-10,5867.16,5872.6,5835.44,5861.73,5861.73,1982150000.0
2017-03-13,5863.48,5877.43,5860.83,5875.78,5875.78,1799340000.0
2017-03-14,5860.07,5860.5,5831.88,5856.82,5856.82,1663170000.0
2017-03-15,5869.98,5911.2,5858.16,5900.05,5900.05,1952690000.0
2017-03-16,5907.86,5911.48,5887.24,5900.76,5900.76,1766980000.0
2017-03-17,5898.58,5912.61,5890.42,5901.0,5901.0,3184130000.0
2017-03-20,5898.81,5915.12,5888.12,5901.53,5901.53,1730550000.0
2017-03-21,5923.42,5928.06,5790.73,5793.83,5793.83,2192090000.0
2017-03-22,5790.59,5825.67,5781.8,5821.64,5821.64,1857680000.0
2017-03-23,5812.31,5842.82,5806.98,5817.69,5817.69,1742640000.0
2017-03-24,5839.33,5858.95,5807.83,5828.74,5828.74,1841920000.0
2017-03-27,5776.33,5849.2,5769.39,5840.37,5840.37,1670760000.0
2017-03-28,5836.5,5888.7,5828.86,5875.14,5875.14,1820860000.0
2017-03-29,5875.35,5900.87,5870.93,5897.55,5897.55,1718680000.0
2017-03-30,5896.15,5916.77,5894.0,5914.34,5914.34,1723770000.0
2017-03-31,5905.63,5927.81,5901.77,5911.74,5911.74,1902800000.0
2017-04-03,5917.32,5928.93,5867.73,5894.68,5894.68,1854200000.0
2017-04-04,5878.76,5901.39,5878.76,5898.61,5898.61,1790840000.0
